,MXWO0EN Index,MXWO0MT Index,MXWO0IN Index,MXWO0CD Index,MXWO0CS Index,MXWO0HC Index,MXWO0FN Index,MXWO0IT Index,MXWO0TC Index,MXWO0UT Index,MXWO0RE Index,MSDUBE,MSDUAS,MSDUSW,MSDUFI,MSDUSG,MSDUNE,MSDUSZ,MSDUAT,MSDUFR,MSDUUK,MSDUNZ,MSDUJN,MSDUSP,MSDUCA,MXUS,MXIL,MSDUSPT,MSDUIT,MSDUHK,MSDUIE,MSDUDE,MSDUNO,MSDUGR,VOW3 GY Equity
29/03/2010,0.013509046,0.011487482,0.005590716,0.001094909,0.005080716,0.005079802,0.005016134,0.000945068,0.010995371,0.009365833,0.006154316,0.007300216,0.011749133,-0.002260465,-0.001133111,0.013223918,0.002964425,0.004893276,0.015080571,0.008103457,0.006602745,0.008494405,-0.001579223,0.006761791,0.015202476,0.00581102,0.005687846,0.014301611,0.006871124,0.005995322,-0.008379392,0.001418718,0.011394399,0.011287813,0.002033318
30/03/2010,0.001510125,0.004167913,0.001026468,0.000397852,0.001947269,-0.000860791,-0.004298001,0.004124203,-0.000377145,0.00253096,0.001751442,-0.008232327,0.007851664,-0.004661146,-0.007420481,0.002156398,-0.003007829,-0.00074314,-0.005886745,-0.007213415,0.001535773,0.000231258,0.009670921,-0.013903665,0.001029965,0.000205954,0.00207527,-0.004604871,-0.007040128,0.001155774,-0.005633253,-0.00332584,-0.00322504,-0.006063257,-0.020847527
31/03/2010,0.005926889,0.000848464,-0.000806422,-0.003686181,-0.000622713,0.000191351,-0.000119653,-0.005069271,-0.000377287,-0.000361174,-0.009892002,0.004023479,-0.009873177,0.009189953,0.010146823,-0.019001945,0.011040482,0.013682441,0.012086886,0.005366624,0.005362812,0.007525183,-0.005571132,-0.002182857,0.004817408,-0.00314766,-0.00319705,0.003618813,0.001722503,-0.013046867,0.00500292,0.007959616,0.022220274,0.010327743,0.005893622
01/04/2010,0.019580667,0.01831984,0.010215339,0.007160647,0.007910697,0.004676697,0.010593445,0.00177127,0.007518832,0.0087219,-0.018055994,0.010850338,0.007971765,0.017675082,0.014566538,0.019754384,0.020356473,0.007963743,0.010717281,0.015466108,0.018631371,-0.00291121,0.000968735,0.018104791,0.013500081,0.007445091,-0.001685032,0.009042794,0.01522644,0.012577287,0.022362635,0.000363545,0.002454361,0.013952513,0.023578446
06/04/2010,0.016402145,0.007425109,0.005646461,0.007798273,-0.006510137,-0.00841466,0.00790145,0.01032873,-0.005257241,0.00026854,-0.077291005,-0.00202485,0.013298448,0.001623756,-0.009270771,0.009003124,-0.004247584,-0.02170513,0.008250848,-0.006329898,0.000679266,0.007719095,0.005751586,-0.004061472,0.009752174,0.009820743,0.007478333,-0.010995022,-0.00558251,0.000225532,-0.003691292,0.011412346,0.008547926,-0.008362334,0.02275411
08/04/2010,-0.007791733,-0.010051588,-0.00586427,-0.004928546,-0.005145007,-0.002499761,-0.004119834,-0.003860783,-0.010788408,-0.008990441,0.113155089,-0.009216094,-0.002465354,-0.010039544,-0.01624999,-0.002176541,-0.013065555,-0.016067191,0.002129322,-0.020345743,-0.008401047,0.001944923,0.002321687,-0.008430342,-0.009757518,-0.002669638,-0.018016119,-0.015632981,-0.024554758,0.00801308,-0.025329419,0.000365705,-0.004707498,-0.015515823,-0.031712413
13/04/2010,0.010375544,0.000208703,0.011335452,0.01471336,0.011423367,0.007576157,0.017074441,0.012811729,0.014546398,0.015591714,0.011364576,0.025533436,-1.07E-05,0.018571959,0.010402478,0.005840367,0.025011348,0.028171888,0.026957951,0.027940154,0.016650781,0.001616079,0.001581235,0.05280126,-0.001492899,0.009137312,-0.002643512,0.040074086,0.032809159,0.008406202,0.037265448,0.019434616,0.0118834,0.024595655,-0.02052858
14/04/2010,0.010312285,0.0112883,0.010853373,0.011039136,0.002315352,-0.001051475,0.019520657,0.01607198,0.00635635,0.001954167,0.006558335,0.00556301,0.019951305,0.011555144,0.009457195,0.034055369,0.008650603,0.008912862,0.026105852,0.011287089,0.012018627,0.020413798,-0.000381983,0.007967154,0.017795056,0.011173203,0.005013379,0.013794745,0.016076147,0.001752257,0.012045793,0.016985948,0.0151264,0.012828936,0.031929238
15/04/2010,0.001730029,-0.000123811,0.006653479,0.002500723,-0.003784519,0.000382482,0.00193127,0.005904411,0.000186341,-0.000355019,-0.004557763,-0.008087031,0.001083728,0.002260623,-0.00187728,-0.000796059,-0.009947395,0.003682289,-0.008670283,-0.002062744,0.007455972,-0.010642998,0.011054739,-0.002329601,-0.001059826,0.000684988,-0.013594235,-0.008924233,-0.001411736,-0.004300066,-0.008821845,0.008650722,0.009109951,-0.002352955,0.010136428
16/04/2010,-0.019637566,-0.021273848,-0.013566031,-0.012177593,-0.007300436,-0.006041156,-0.026217438,-0.013678545,-0.011242389,-0.010261076,-0.015465153,-0.013992021,-0.010295637,-0.011014447,-0.027670277,-0.002195246,-0.018007929,-0.014102055,-0.02474977,-0.023148099,-0.019829208,-0.004237386,-0.001146654,-0.027793603,-0.026328031,-0.01589228,-0.003215709,-0.026669045,-0.026367177,-0.014139465,0.010632813,-0.010086736,-0.01530328,-0.021038096,0.007359218
19/04/2010,-0.002382634,-0.011107457,-0.006816659,-0.004385331,-0.004374665,0.002113759,-0.005256714,-0.00045919,-0.002074885,-0.00314395,-0.013354451,-0.010142061,-0.022667449,-0.008202893,0.000380669,-0.020260871,-0.004348062,-0.016310265,-0.007144567,-0.007501902,-0.009566006,-0.011032233,-0.018471786,-0.00791883,-0.000214396,0.004069173,-0.013723162,-0.014436658,-0.012885439,-0.013018642,-0.003669513,-0.009603559,-0.018054641,-0.006293802,-0.013057239
20/04/2010,0.020073707,0.006670799,0.008745575,0.010299353,0.004608483,0.003640548,0.010138175,0.003896406,0.004521485,0.009045783,0.007611278,0.007111913,0.01311769,0.018958531,0.017625634,0.010793653,0.017909879,0.003841468,0.008437862,0.013281137,0.012962527,0.006159682,-0.008751044,0.008206011,0.016633586,0.008436952,0.002506052,0.014064994,0.020613741,0.000563082,0.009719049,0.018888727,0.023883326,0.01657489,0.03509132
21/04/2010,-0.004556607,-0.00301122,0.003348893,0.004436736,0,-0.013090956,-0.005580761,0.005133774,-0.005655057,-0.005453502,0.009433348,-0.011727417,0.003471936,-0.016735235,-0.010867887,-0.001458218,-0.006537908,-0.007024404,-0.006955218,-0.015730325,-0.007622201,-0.003504303,0.013891334,-0.027053041,0.003217701,-0.001279301,0.004890989,-0.023092028,-0.014928298,0.002913819,0.016919087,-0.002414721,-0.001299093,-0.00984157,0.037362223
